آشاغێدا,یوخاریدا,جنوب,شیمال,شیمال
دینامیک,استاتیک,ائنمک,قالخماق,قالخماق
چێخێش,گیریش,ائنمک,قالخماق,قالخماق
یوخاری,آشاغێ,قرب,شرق,شرق
سؤز,پاراقراف,سئناتور,سئنات,سئنات
بئنزین,یاناجاق,جنس شالوار,شالوار,شالوار
خمیر,یئمک,جنس شالوار,شالوار,شالوار
یوخاری,آشاغێ,آشاغێدا,یوخاریدا,یوخاریدا
گنج,کؤهنه,ماراقلێ,ماراقسێز,ماراقسێز
اوزون,قێسا,باجارێر,باجارماز,باجارماز
بئتون,سیلیکون,بوزلاق,بوز,بوز
آسلان,پیشیک,جینگیلتیلی ایلان,ایلان,ایلان
دینامیک,استاتیک,دۆشمک,یۆکسلمک,یۆکسلمک
